Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Bundesliga,18/03/2023,14:30,Stuttgart,Wolfsburg,0,1,A,2.07,3.46,3.68
2022/2023,Bundesliga,18/03/2023,17:30,Dortmund,FC Koln,6,1,H,1.54,4.54,5.69
2022/2023,Bundesliga,19/03/2023,14:30,Union Berlin,Ein Frankfurt,2,0,H,2.33,3.07,3.4
2022/2023,Bundesliga,19/03/2023,16:30,Leverkusen,Bayern Munich,2,1,H,4.57,4.37,1.68
2022/2023,Bundesliga,19/03/2023,18:30,Mainz,Freiburg,1,1,D,2.04,3.38,3.85
2022/2023,Bundesliga,31/03/2023,19:30,Ein Frankfurt,Bochum,1,1,D,1.55,4.32,6.08
2022/2023,Bundesliga,01/04/2023,14:30,Freiburg,Hertha,1,1,D,1.85,3.47,4.68
2022/2023,Bundesliga,01/04/2023,14:30,RB Leipzig,Mainz,0,3,A,1.51,4.38,6.45
2022/2023,Bundesliga,01/04/2023,14:30,Schalke 04,Leverkusen,0,3,A,4.23,3.72,1.86
2022/2023,Bundesliga,01/04/2023,14:30,Union Berlin,Stuttgart,3,0,H,2.14,3.15,3.88
2022/2023,Bundesliga,01/04/2023,14:30,Wolfsburg,Augsburg,2,2,D,1.58,4.34,5.62
2022/2023,Bundesliga,01/04/2023,17:30,Bayern Munich,Dortmund,4,2,H,1.51,4.9,5.7
2022/2023,Bundesliga,02/04/2023,14:30,FC Koln,M'gladbach,0,0,D,2.24,3.5,3.23
2022/2023,Bundesliga,02/04/2023,16:30,Werder Bremen,Hoffenheim,1,2,A,2.18,3.66,3.18
2022/2023,Bundesliga,08/04/2023,14:30,Augsburg,FC Koln,1,3,A,3.44,3.34,2.21
2022/2023,Bundesliga,08/04/2023,14:30,Dortmund,Union Berlin,2,1,H,1.67,4.03,5.14
2022/2023,Bundesliga,08/04/2023,14:30,Freiburg,Bayern Munich,0,1,A,6.45,4.77,1.47
2022/2023,Bundesliga,08/04/2023,14:30,Leverkusen,Ein Frankfurt,3,1,H,1.88,3.86,4
2022/2023,Bundesliga,08/04/2023,14:30,Mainz,Werder Bremen,2,2,D,1.71,3.95,4.91
2022/2023,Bundesliga,08/04/2023,17:30,Hertha,RB Leipzig,0,1,A,5.21,3.87,1.69
2022/2023,Bundesliga,09/04/2023,14:30,M'gladbach,Wolfsburg,2,0,H,2.46,3.59,2.76
2022/2023,Bundesliga,09/04/2023,16:30,Bochum,Stuttgart,2,3,A,3.06,3.29,2.44
2022/2023,Bundesliga,09/04/2023,18:30,Hoffenheim,Schalke 04,2,0,H,1.93,3.78,3.88
2022/2023,Bundesliga,14/04/2023,19:30,Schalke 04,Hertha,5,2,H,2.32,3.31,3.23
2022/2023,Bundesliga,15/04/2023,14:30,Bayern Munich,Hoffenheim,1,1,D,1.19,8.03,13.12
2022/2023,Bundesliga,15/04/2023,14:30,FC Koln,Mainz,1,1,D,2.72,3.24,2.75
2022/2023,Bundesliga,15/04/2023,14:30,RB Leipzig,Augsburg,3,2,H,1.22,6.86,13.42
2022/2023,Bundesliga,15/04/2023,14:30,Stuttgart,Dortmund,3,3,D,2.91,3.7,2.33
