Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Primeira Liga,17/03/2023,20:15,Santa Clara,Rio Ave,0,2,A,2.76,2.91,2.86
2022/2023,Primeira Liga,18/03/2023,15:30,Portimonense,Vizela,0,1,A,3.03,3.17,2.44
2022/2023,Primeira Liga,18/03/2023,18:00,Arouca,Pacos Ferreira,1,1,D,2.2,3.25,3.42
2022/2023,Primeira Liga,18/03/2023,18:00,Benfica,Guimaraes,5,1,H,1.15,7.92,17.99
2022/2023,Primeira Liga,18/03/2023,20:30,Estoril,Chaves,0,2,A,2.14,3.27,3.47
2022/2023,Primeira Liga,19/03/2023,15:30,Casa Pia,Maritimo,2,0,H,2.11,3.15,3.79
2022/2023,Primeira Liga,19/03/2023,18:00,Sp Braga,Porto,0,0,D,3.23,3.38,2.22
2022/2023,Primeira Liga,19/03/2023,20:30,Boavista,Famalicao,1,2,A,2.64,2.97,2.93
2022/2023,Primeira Liga,31/03/2023,20:15,Estoril,Gil Vicente,1,0,H,2.76,3.36,2.52
2022/2023,Primeira Liga,01/04/2023,15:30,Vizela,Casa Pia,3,1,H,1.95,3.18,4.26
2022/2023,Primeira Liga,01/04/2023,18:00,Guimaraes,Pacos Ferreira,0,0,D,2.05,3.3,3.8
2022/2023,Primeira Liga,01/04/2023,20:30,Sp Lisbon,Santa Clara,3,0,H,1.11,9.3,24.21
2022/2023,Primeira Liga,02/04/2023,15:30,Chaves,Sp Braga,1,2,A,5.77,4.07,1.57
2022/2023,Primeira Liga,02/04/2023,15:30,Maritimo,Boavista,4,2,H,2.27,3.2,3.28
2022/2023,Primeira Liga,02/04/2023,18:00,Rio Ave,Benfica,0,1,A,13.07,5.48,1.26
2022/2023,Primeira Liga,02/04/2023,20:30,Porto,Portimonense,1,0,H,1.14,8.21,19.46
2022/2023,Primeira Liga,03/04/2023,20:15,Famalicao,Arouca,0,1,A,1.95,3.4,3.98
2022/2023,Primeira Liga,05/04/2023,20:15,Gil Vicente,Sp Lisbon,0,0,D,8.06,4.95,1.37
2022/2023,Primeira Liga,07/04/2023,15:30,Santa Clara,Vizela,0,1,A,3.5,3.18,2.19
2022/2023,Primeira Liga,07/04/2023,18:00,Benfica,Porto,1,2,A,1.82,3.54,4.45
2022/2023,Primeira Liga,07/04/2023,20:30,Boavista,Guimaraes,2,1,H,2.5,3.07,2.95
2022/2023,Primeira Liga,08/04/2023,15:30,Arouca,Maritimo,1,0,H,2.27,3.19,3.32
2022/2023,Primeira Liga,08/04/2023,18:00,Pacos Ferreira,Famalicao,1,3,A,2.8,3.03,2.7
2022/2023,Primeira Liga,08/04/2023,18:00,Portimonense,Rio Ave,2,2,D,2.54,3.04,3
2022/2023,Primeira Liga,08/04/2023,20:30,Sp Braga,Estoril,4,1,H,1.26,5.75,11.38
2022/2023,Primeira Liga,09/04/2023,18:00,Casa Pia,Sp Lisbon,3,4,A,8.99,4.53,1.38
2022/2023,Primeira Liga,10/04/2023,20:15,Gil Vicente,Chaves,0,0,D,2.1,3.38,3.53
2022/2023,Primeira Liga,14/04/2023,20:15,Famalicao,Guimaraes,2,1,H,1.95,3.32,4.16
2022/2023,Primeira Liga,15/04/2023,15:30,Estoril,Portimonense,0,1,A,2.38,3.11,3.21
2022/2023,Primeira Liga,15/04/2023,15:30,Maritimo,Pacos Ferreira,3,1,H,2.21,3.21,3.39
2022/2023,Primeira Liga,15/04/2023,18:00,Chaves,Benfica,1,0,H,11.32,6.04,1.25
2022/2023,Primeira Liga,15/04/2023,20:30,Porto,Santa Clara,2,1,H,1.13,8.65,20.89
