Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,LaLiga,29/01/2023,13:00,Valladolid,Valencia,1,0,H,3.14,3.2,2.42
2022/2023,LaLiga,29/01/2023,15:15,Osasuna,Ath Madrid,0,1,A,4.19,3.15,2.06
2022/2023,LaLiga,29/01/2023,17:30,Celta,Ath Bilbao,1,0,H,3.16,2.95,2.57
2022/2023,LaLiga,29/01/2023,20:00,Real Madrid,Sociedad,0,0,D,1.74,3.81,4.94
2022/2023,LaLiga,30/01/2023,20:00,Villarreal,Vallecano,0,1,A,1.76,3.71,4.88
2022/2023,LaLiga,01/02/2023,20:00,Betis,Barcelona,1,2,A,4.71,3.73,1.77
2022/2023,LaLiga,02/02/2023,20:00,Real Madrid,Valencia,2,0,H,1.39,5.04,8.21
2022/2023,LaLiga,03/02/2023,20:00,Ath Bilbao,Cadiz,4,1,H,1.38,4.65,9.58
2022/2023,LaLiga,04/02/2023,13:00,Espanol,Osasuna,1,1,D,2.76,3.04,2.84
2022/2023,LaLiga,04/02/2023,15:15,Elche,Villarreal,3,1,H,5.24,3.94,1.67
2022/2023,LaLiga,04/02/2023,17:30,Ath Madrid,Getafe,1,1,D,1.46,4.08,8.85
2022/2023,LaLiga,04/02/2023,20:00,Betis,Celta,3,4,A,2.08,3.28,3.86
2022/2023,LaLiga,05/02/2023,13:00,Mallorca,Real Madrid,1,0,H,5.05,3.52,1.78
2022/2023,LaLiga,05/02/2023,15:15,Girona,Valencia,1,0,H,2.32,3.28,3.26
2022/2023,LaLiga,05/02/2023,17:30,Sociedad,Valladolid,0,1,A,1.48,4.25,7.48
2022/2023,LaLiga,05/02/2023,20:00,Barcelona,Sevilla,3,0,H,1.31,5.47,10.23
2022/2023,LaLiga,06/02/2023,20:00,Vallecano,Almeria,2,0,H,1.92,3.46,4.33
2022/2023,LaLiga,10/02/2023,20:00,Cadiz,Girona,2,0,H,3.13,3.08,2.51
2022/2023,LaLiga,11/02/2023,15:15,Almeria,Betis,2,3,A,2.9,3.33,2.52
2022/2023,LaLiga,11/02/2023,17:30,Sevilla,Mallorca,2,0,H,1.9,3.17,4.95
2022/2023,LaLiga,11/02/2023,20:00,Valencia,Ath Bilbao,1,2,A,3.2,3.22,2.38
2022/2023,LaLiga,12/02/2023,13:00,Getafe,Vallecano,1,1,D,3.24,2.85,2.61
2022/2023,LaLiga,12/02/2023,15:15,Celta,Ath Madrid,0,1,A,3.68,3.18,2.19
2022/2023,LaLiga,12/02/2023,17:30,Valladolid,Osasuna,0,0,D,2.4,3.14,3.25
2022/2023,LaLiga,12/02/2023,20:00,Villarreal,Barcelona,0,1,A,4.71,3.71,1.78
2022/2023,LaLiga,13/02/2023,20:00,Espanol,Sociedad,2,3,A,4.01,3.07,2.14
2022/2023,LaLiga,15/02/2023,20:00,Real Madrid,Elche,4,0,H,1.21,6.77,14.12
2022/2023,LaLiga,17/02/2023,20:00,Girona,Almeria,6,2,H,1.86,3.67,4.29
2022/2023,LaLiga,18/02/2023,13:00,Sociedad,Celta,1,1,D,1.81,3.42,5.06
2022/2023,LaLiga,18/02/2023,15:15,Betis,Valladolid,2,1,H,1.67,3.95,5.28
2022/2023,LaLiga,18/02/2023,17:30,Mallorca,Villarreal,4,2,H,3.21,2.91,2.6
2022/2023,LaLiga,18/02/2023,20:00,Osasuna,Real Madrid,0,2,A,5.33,3.79,1.69
2022/2023,LaLiga,19/02/2023,13:00,Elche,Espanol,0,1,A,2.67,3,2.97
2022/2023,LaLiga,19/02/2023,15:15,Vallecano,Sevilla,1,1,D,2.37,3.13,3.31
2022/2023,LaLiga,19/02/2023,17:30,Ath Madrid,Ath Bilbao,1,0,H,1.97,3.33,4.3
2022/2023,LaLiga,19/02/2023,20:00,Barcelona,Cadiz,2,0,H,1.23,6.39,13.4
2022/2023,LaLiga,20/02/2023,20:00,Getafe,Valencia,1,0,H,3.24,2.83,2.63
2022/2023,LaLiga,24/02/2023,20:00,Elche,Betis,2,3,A,3.65,3.5,2.05
2022/2023,LaLiga,25/02/2023,13:00,Espanol,Mallorca,2,1,H,2.59,2.82,3.29
2022/2023,LaLiga,25/02/2023,15:15,Cadiz,Vallecano,1,0,H,2.99,2.97,2.7
2022/2023,LaLiga,25/02/2023,17:30,Real Madrid,Ath Madrid,1,1,D,1.82,3.53,4.81
2022/2023,LaLiga,25/02/2023,20:00,Valencia,Sociedad,1,0,H,3.28,3.09,2.42
2022/2023,LaLiga,26/02/2023,13:00,Ath Bilbao,Girona,2,3,A,1.66,3.89,5.51
2022/2023,LaLiga,26/02/2023,15:15,Celta,Valladolid,3,0,H,1.69,3.9,5.1
2022/2023,LaLiga,26/02/2023,17:30,Almeria,Barcelona,1,0,H,7.04,4.79,1.44
2022/2023,LaLiga,26/02/2023,20:00,Sevilla,Osasuna,2,3,A,1.71,3.63,5.5
2022/2023,LaLiga,27/02/2023,20:00,Villarreal,Getafe,2,1,H,1.73,3.45,5.81
2022/2023,LaLiga,03/03/2023,20:00,Sociedad,Cadiz,0,0,D,1.52,3.86,7.59
2022/2023,LaLiga,04/03/2023,13:00,Getafe,Girona,3,2,H,2.71,2.96,2.97
2022/2023,LaLiga,04/03/2023,15:15,Almeria,Villarreal,0,2,A,3.32,3.53,2.18
2022/2023,LaLiga,04/03/2023,17:30,Mallorca,Elche,0,1,A,1.66,3.47,6.4
2022/2023,LaLiga,04/03/2023,20:00,Ath Madrid,Sevilla,6,1,H,1.63,3.75,6.02
2022/2023,LaLiga,05/03/2023,13:00,Valladolid,Espanol,2,1,H,2.29,3.23,3.36
2022/2023,LaLiga,05/03/2023,15:15,Barcelona,Valencia,1,0,H,1.34,5.1,9.84
2022/2023,LaLiga,05/03/2023,17:30,Vallecano,Ath Bilbao,0,0,D,2.82,3.02,2.79
2022/2023,LaLiga,05/03/2023,20:00,Betis,Real Madrid,0,0,D,4.76,3.97,1.72
2022/2023,LaLiga,06/03/2023,20:00,Osasuna,Celta,0,0,D,2.63,3.12,2.92
2022/2023,LaLiga,10/03/2023,20:00,Cadiz,Getafe,2,2,D,2.49,2.82,3.49
2022/2023,LaLiga,11/03/2023,13:00,Real Madrid,Espanol,3,1,H,1.23,6.24,14
2022/2023,LaLiga,11/03/2023,15:15,Elche,Valladolid,1,1,D,2.55,3.25,2.87
2022/2023,LaLiga,11/03/2023,17:30,Celta,Vallecano,3,0,H,2.06,3.3,3.86
2022/2023,LaLiga,11/03/2023,20:00,Valencia,Osasuna,1,0,H,2.03,3.19,4.13
2022/2023,LaLiga,12/03/2023,13:00,Mallorca,Sociedad,1,1,D,3.75,2.75,2.41
2022/2023,LaLiga,12/03/2023,15:15,Sevilla,Almeria,2,1,H,1.64,4.09,5.26
2022/2023,LaLiga,12/03/2023,17:30,Villarreal,Betis,1,1,D,1.68,3.96,5.05
2022/2023,LaLiga,12/03/2023,20:00,Ath Bilbao,Barcelona,0,1,A,3.64,3.33,2.13
2022/2023,LaLiga,13/03/2023,20:00,Girona,Ath Madrid,0,1,A,3.75,3.43,2.06
2022/2023,LaLiga,17/03/2023,20:00,Valladolid,Ath Bilbao,1,3,A,4.11,3.56,1.93
2022/2023,LaLiga,18/03/2023,13:00,Almeria,Cadiz,1,1,D,2.06,3.38,3.76
2022/2023,LaLiga,18/03/2023,15:15,Vallecano,Girona,2,2,D,2.05,3.36,3.88
2022/2023,LaLiga,18/03/2023,17:30,Espanol,Celta,1,3,A,2.97,3.05,2.62
2022/2023,LaLiga,18/03/2023,20:00,Ath Madrid,Valencia,3,0,H,1.5,4.11,7.5
2022/2023,LaLiga,19/03/2023,13:00,Betis,Mallorca,1,0,H,2,3.11,4.39
2022/2023,LaLiga,19/03/2023,15:15,Osasuna,Villarreal,0,3,A,3.01,3.16,2.54
2022/2023,LaLiga,19/03/2023,15:15,Sociedad,Elche,2,0,H,1.4,4.51,9.09
2022/2023,LaLiga,19/03/2023,17:30,Getafe,Sevilla,2,0,H,2.76,2.95,2.91
2022/2023,LaLiga,19/03/2023,20:00,Barcelona,Real Madrid,2,1,H,2.24,3.47,3.29
